DEBUG 2025-06-15 15:45:48,148 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/requests/utils.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,148 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/management/utils.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,149 autoreload 16 140095426157440 File /usr/local/lib/python3.11/pickle.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,149 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/db/migrations/autodetector.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,150 autoreload 16 140095426157440 File /usr/local/lib/python3.11/encodings/aliases.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,156 autoreload 16 140095426157440 File /app/weather/apps.py first seen with mtime 1749983804.3478386
DEBUG 2025-06-15 15:45:48,156 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/dotenv/variables.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,157 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/coreapi/client.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,157 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/jinja2/loaders.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,158 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/files/utils.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,159 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/rest_framework/viewsets.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,160 autoreload 16 140095426157440 File /usr/local/lib/python3.11/email/mime/base.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,162 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/coreschema/encodings/html.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,162 autoreload 16 140095426157440 File /usr/local/lib/python3.11/functools.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,172 autoreload 16 140095426157440 File /app/weather_project/urls.py first seen with mtime 1749991136.0686362
DEBUG 2025-06-15 15:45:48,174 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/coreschema/encodings/__init__.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,176 autoreload 16 140095426157440 File /usr/local/lib/python3.11/xml/dom/minidom.py first seen with mtime 1749599834.0
DEBUG 2025-06-15 15:45:48,177 autoreload 16 140095426157440 File /usr/local/lib/python3.11/email/_policybase.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,178 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/jinja2/runtime.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,178 autoreload 16 140095426157440 File /usr/local/lib/python3.11/heapq.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,179 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/rest_framework/utils/breadcrumbs.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,179 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/template/backends/__init__.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,180 autoreload 16 140095426157440 File /usr/local/lib/python3.11/lib-dynload/_struct.cpython-311-x86_64-linux-gnu.so first seen with mtime 1749599807.0
DEBUG 2025-06-15 15:45:48,181 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/serializers/python.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,182 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/utils/module_loading.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,183 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/middleware/cache.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,185 autoreload 16 140095426157440 File /usr/local/lib/python3.11/asyncio/selector_events.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,186 autoreload 16 140095426157440 File /usr/local/lib/python3.11/getpass.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,187 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/files/move.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,189 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/forms/fields.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,191 autoreload 16 140095426157440 File /usr/local/lib/python3.11/re/_constants.py first seen with mtime 1749599834.0
DEBUG 2025-06-15 15:45:48,196 autoreload 16 140095426157440 File /usr/local/lib/python3.11/datetime.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,198 autoreload 16 140095426157440 File /usr/local/lib/python3.11/email/headerregistry.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,199 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/management/commands/makemigrations.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,200 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/rest_framework/documentation.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,201 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/pkg_resources/_vendor/pyparsing/exceptions.py first seen with mtime 1749599854.0
DEBUG 2025-06-15 15:45:48,204 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/db/backends/base/validation.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,205 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/utils/dateformat.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,206 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/middleware/clickjacking.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,207 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/templatetags/cache.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,209 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/pkg_resources/_vendor/pyparsing/helpers.py first seen with mtime 1749599854.0
DEBUG 2025-06-15 15:45:48,210 autoreload 16 140095426157440 File /usr/local/lib/python3.11/lib-dynload/_uuid.cpython-311-x86_64-linux-gnu.so first seen with mtime 1749599826.0
DEBUG 2025-06-15 15:45:48,211 autoreload 16 140095426157440 File /usr/local/lib/python3.11/http/server.py first seen with mtime 1749599834.0
DEBUG 2025-06-15 15:45:48,212 autoreload 16 140095426157440 File /usr/local/lib/python3.11/asyncio/base_tasks.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,213 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1749991424.0
DEBUG 2025-06-15 15:45:48,214 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/db/backends/base/schema.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,215 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/sqlparse/formatter.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,218 autoreload 16 140095426157440 File /usr/local/lib/python3.11/lib-dynload/_socket.cpython-311-x86_64-linux-gnu.so first seen with mtime 1749599810.0
DEBUG 2025-06-15 15:45:48,220 autoreload 16 140095426157440 File /usr/local/lib/python3.11/collections/abc.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,222 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,225 autoreload 16 140095426157440 File /usr/local/lib/python3.11/decimal.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,227 autoreload 16 140095426157440 File /usr/local/lib/python3.11/http/cookiejar.py first seen with mtime 1749599834.0
DEBUG 2025-06-15 15:45:48,227 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1749991424.0
DEBUG 2025-06-15 15:45:48,228 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/pkg_resources/_vendor/packaging/utils.py first seen with mtime 1749599854.0
DEBUG 2025-06-15 15:45:48,230 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/urllib3/_collections.py first seen with mtime 1749991423.0
